"","fecha","SO2.EST4","CO.EST4","NO.EST4","NO2.EST4","NOX.EST4","SO2EST35","COEST35","NOEST35","NO2EST35","NOXEST35","tmed","prec","tmin","tmax","presMax","presMin","Dia_semana","tipo","O3"
"1",2017-01-01 01:00:00,7,0.6,83,45,172,10,0.8,111,68,239,17,0,-6,40,9518,9448,"D","D",8.32
"2",2017-01-01 02:00:00,6,0.6,107,56,220,8,0.7,98,54,205,17,0,-6,40,9518,9448,"D","D",3.6
"3",2017-01-01 03:00:00,6,0.5,101,54,209,9,0.8,98,68,297,17,0,-6,40,9518,9448,"D","D",7.44
"4",2017-01-01 04:00:00,6,0.5,96,50,197,7,0.7,98,67,282,17,0,-6,40,9518,9448,"D","D",5.67
"5",2017-01-01 05:00:00,4,0.4,53,37,119,6,0.6,100,55,208,17,0,-6,40,9518,9448,"D","D",3.25
"6",2017-01-01 06:00:00,2,0.4,31,31,79,6,0.5,63,45,142,17,0,-6,40,9518,9448,"D","D",3.89
"7",2017-01-01 07:00:00,3,0.4,41,35,98,7,0.6,58,45,134,17,0,-6,40,9518,9448,"D","D",1.6
"8",2017-01-01 08:00:00,5,0.6,61,39,132,8,0.5,48,49,122,17,0,-6,40,9518,9448,"D","D",8.16
"9",2017-01-01 09:00:00,4,0.4,37,34,91,9,0.6,50,49,125,17,0,-6,40,9518,9448,"D","D",11.99
"10",2017-01-01 10:00:00,5,0.4,39,33,92,13,0.5,86,74,205,17,0,-6,40,9518,9448,"D","D",7.33
"11",2017-01-01 11:00:00,6,0.5,52,36,116,12,0.5,48,49,122,17,0,-6,40,9518,9448,"D","D",6.14
"12",2017-01-01 12:00:00,14,0.6,62,41,135,15,0.7,60,52,144,17,0,-6,40,9518,9448,"D","D",11.99
"13",2017-01-01 13:00:00,10,0.5,56,50,135,13,0.5,38,48,106,17,0,-6,40,9518,9448,"D","D",13.28
"14",2017-01-01 14:00:00,7,0.4,30,48,95,10,0.5,21,45,77,17,0,-6,40,9518,9448,"D","D",11.15
"15",2017-01-01 15:00:00,5,0.3,12,36,54,6,0.4,7,31,42,17,0,-6,40,9518,9448,"D","D",20.78
"16",2017-01-01 16:00:00,4,0.2,9,33,47,5,0.4,8,32,45,17,0,-6,40,9518,9448,"D","D",30.24
"17",2017-01-01 17:00:00,4,0.2,6,33,43,3,0.3,6,35,43,17,0,-6,40,9518,9448,"D","D",39.02
"18",2017-01-01 18:00:00,4,0.3,10,42,57,2,0.3,5,40,47,17,0,-6,40,9518,9448,"D","D",18.61
"19",2017-01-01 19:00:00,5,0.3,20,58,90,4,0.4,2,42,46,17,0,-6,40,9518,9448,"D","D",19.87
"20",2017-01-01 20:00:00,6,0.5,38,79,138,10,0.5,15,72,94,17,0,-6,40,9518,9448,"D","D",8.16
"21",2017-01-01 21:00:00,11,0.7,125,89,281,14,0.6,22,79,112,17,0,-6,40,9518,9448,"D","D",12.29
"22",2017-01-01 22:00:00,12,1,162,96,345,15,0.6,37,81,138,17,0,-6,40,9518,9448,"D","D",12.35
"23",2017-01-01 23:00:00,6,0.5,60,78,171,10,0.6,35,76,130,17,0,-6,40,9518,9448,"D","D",169.9
"24",2017-01-02 00:00:00,3,0.4,27,60,101,8,0.5,10,58,73,17,0,-6,40,9518,9448,"D","D",15.34
"25",2017-01-02 01:00:00,3,0.4,16,57,82,7,0.3,14,55,77,27,0,-8,62,9455,9436,"L","L",14.05
"26",2017-01-02 02:00:00,3,0.3,9,38,51,5,0.2,4,33,39,27,0,-8,62,9455,9436,"L","L",23
"27",2017-01-02 03:00:00,2,0.3,9,39,52,5,0.3,6,37,47,27,0,-8,62,9455,9436,"L","L",24.54
